date,latitude,longitude,site,wavelength_nm,rrs,nearest_lat,nearest_lon,distance_km,status
2024-07-01,41.362,-70.5226,,346.0,0.001515999436378479,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,348.0,0.0016120001673698425,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,351.0,0.0016440004110336304,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,353.0,0.0016460008919239044,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,356.0,0.0016680024564266205,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,358.0,0.0018119998276233673,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,361.0,0.001916002482175827,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,363.0,0.0019460022449493408,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,366.0,0.001900002360343933,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,368.0,0.0017840005457401276,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,371.0,0.0017200000584125519,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,373.0,0.0018520019948482513,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,375.0,0.0020200014114379883,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,378.0,0.001873999834060669,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,380.0,0.0017659999430179596,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,383.0,0.002013999968767166,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,385.0,0.0021440014243125916,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,388.0,0.0021039992570877075,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,390.0,0.0019760020077228546,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,393.0,0.0020040012896060944,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,395.0,0.0023160018026828766,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,398.0,0.002408001571893692,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,400.0,0.002227999269962311,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,403.0,0.0020940005779266357,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,405.0,0.0021120011806488037,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,408.0,0.0021199993789196014,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,410.0,0.0021240003407001495,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,413.0,0.0021499991416931152,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,415.0,0.002181999385356903,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,418.0,0.0022439993917942047,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,420.0,0.002254001796245575,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,422.0,0.0022820010781288147,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,425.0,0.0023340024054050446,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,427.0,0.002410002052783966,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,430.0,0.002526000142097473,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,432.0,0.002594001591205597,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
2024-07-01,41.362,-70.5226,,435.0,0.002598002552986145,41.354164123535156,-70.52082824707031,0.8837701437617533,ok
